
Movie,Question,Answer
Aravinda Sametha Veera Raghava,Who is the music director for the song with the lyrics snippet 'Sarele anave kanuvindaa; Valape manaki raasunde; Kaadante saripothundaa'?,SSTHAMAN
Aravinda Sametha Veera Raghava,Who penned the lyrics to the song with the lyrics snippet 'Sarele anave kanuvindaa; Valape manaki raasunde; Kaadante saripothundaa'?,SIRIVENNELASEETHARAMASASTRY
Aravinda Sametha Veera Raghava,Which movie has the song with the following lyrics snippet from: 'Sarele anave kanuvindaa; Valape manaki raasunde; Kaadante saripothundaa'?,ARAVINDASAMETHAVEERARAGHAVA
Aravinda Sametha Veera Raghava,Who sang the song with the lyrics snippet 'Sarele anave kanuvindaa; Valape manaki raasunde; Kaadante saripothundaa'?,ARMAANMALIK
Aravinda Sametha Veera Raghava,Complete the lyric: 'Anthaa maayala undhi; Ayinaa haayiga undhi; ___ unna baane undhe',BRAMALA
Aravinda Sametha Veera Raghava,Who is the music director for the song with the lyrics snippet 'Anthaa maayala undhi; Ayinaa haayiga undhi; Bramala unna baane undhe'?,SSTHAMAN
Aravinda Sametha Veera Raghava,Who penned the lyrics to the song with the lyrics snippet 'Anthaa maayala undhi; Ayinaa haayiga undhi; Bramala unna baane undhe'?,SIRIVENNELASEETHARAMASASTRY
Aravinda Sametha Veera Raghava,Which movie has the song with the following lyrics snippet from: 'Anthaa maayala undhi; Ayinaa haayiga undhi; Bramala unna baane undhe'?,ARAVINDASAMETHAVEERARAGHAVA
Aravinda Sametha Veera Raghava,Who sang the song with the lyrics snippet 'Anthaa maayala undhi; Ayinaa haayiga undhi; Bramala unna baane undhe'?,ARMAANMALIK
Aravinda Sametha Veera Raghava,Complete the lyric: 'Hey nuvvu ganna nalusunaina; Talasi ___ raara penimiti; Niddarani irisesei Reppalni therisaanu',TALASI
Aravinda Sametha Veera Raghava,Who is the music director for the song with the lyrics snippet 'Hey nuvvu ganna nalusunaina; Talasi talasi raara penimiti; Niddarani irisesei Reppalni therisaanu'?,SSTHAMAN
Aravinda Sametha Veera Raghava,Who penned the lyrics to the song with the lyrics snippet 'Hey nuvvu ganna nalusunaina; Talasi talasi raara penimiti; Niddarani irisesei Reppalni therisaanu'?,RAMAJOGAYYASASTRY
Aravinda Sametha Veera Raghava,Which movie has the song with the following lyrics snippet from: 'Hey nuvvu ganna nalusunaina; Talasi talasi raara penimiti; Niddarani irisesei Reppalni therisaanu'?,ARAVINDASAMETHAVEERARAGHAVA
Aravinda Sametha Veera Raghava,Who sang the song with the lyrics snippet 'Hey nuvvu ganna nalusunaina; Talasi talasi raara penimiti; Niddarani irisesei Reppalni therisaanu'?,KAALABHAIRAVA
Aravinda Sametha Veera Raghava,Complete the lyric: 'Kommallo sakkati Koyile okkati; Kommallo sakkati Koyile okkati; ___ gonthu chesi Paadathandhi',GUNDENE
Aravinda Sametha Veera Raghava,Who is the music director for the song with the lyrics snippet 'Kommallo sakkati Koyile okkati; Kommallo sakkati Koyile okkati; Gundene gonthu chesi Paadathandhi'?,SSTHAMAN
Aravinda Sametha Veera Raghava,Who penned the lyrics to the song with the lyrics snippet 'Kommallo sakkati Koyile okkati; Kommallo sakkati Koyile okkati; Gundene gonthu chesi Paadathandhi'?,RAMAJOGAYYASASTRY
Aravinda Sametha Veera Raghava,Which movie has the song with the following lyrics snippet from: 'Kommallo sakkati Koyile okkati; Kommallo sakkati Koyile okkati; Gundene gonthu chesi Paadathandhi'?,ARAVINDASAMETHAVEERARAGHAVA
Aravinda Sametha Veera Raghava,Who sang the song with the lyrics snippet 'Kommallo sakkati Koyile okkati; Kommallo sakkati Koyile okkati; Gundene gonthu chesi Paadathandhi'?,KAALABHAIRAVA
Aravinda Sametha Veera Raghava,Complete the lyric: 'Ennenni nallainadho; Ninu zoosi kallaaraa; Chimmati cheekati Kammati ___',SANGATI
Aravinda Sametha Veera Raghava,Who is the music director for the song with the lyrics snippet 'Ennenni nallainadho; Ninu zoosi kallaaraa; Chimmati cheekati Kammati sangati'?,SSTHAMAN
Aravinda Sametha Veera Raghava,Who penned the lyrics to the song with the lyrics snippet 'Ennenni nallainadho; Ninu zoosi kallaaraa; Chimmati cheekati Kammati sangati'?,RAMAJOGAYYASASTRY
Aravinda Sametha Veera Raghava,Which movie has the song with the following lyrics snippet from: 'Ennenni nallainadho; Ninu zoosi kallaaraa; Chimmati cheekati Kammati sangati'?,ARAVINDASAMETHAVEERARAGHAVA
Aravinda Sametha Veera Raghava,Who sang the song with the lyrics snippet 'Ennenni nallainadho; Ninu zoosi kallaaraa; Chimmati cheekati Kammati sangati'?,KAALABHAIRAVA
Aravinda Sametha Veera Raghava,Complete the lyric: 'Naraka swargaavani dhaati; Vennamaarkulu ___ Thidhi andhu raaraani',DHAATI
Aravinda Sametha Veera Raghava,Who is the music director for the song with the lyrics snippet 'Naraka swargaavani dhaati; Vennamaarkulu dhaati; Thidhi andhu raaraani'?,SSTHAMAN
Aravinda Sametha Veera Raghava,Who penned the lyrics to the song with the lyrics snippet 'Naraka swargaavani dhaati; Vennamaarkulu dhaati; Thidhi andhu raaraani'?,SIRIVENNELASEETHARAMASASTRY
Aravinda Sametha Veera Raghava,Which movie has the song with the following lyrics snippet from: 'Naraka swargaavani dhaati; Vennamaarkulu dhaati; Thidhi andhu raaraani'?,ARAVINDASAMETHAVEERARAGHAVA
Aravinda Sametha Veera Raghava,Complete the lyric: 'Athi sokhamu bothimey; Naraka swargaavani ___ Vennamaarkulu dhaati',DHAATI
Aravinda Sametha Veera Raghava,Who is the music director for the song with the lyrics snippet 'Athi sokhamu bothimey; Naraka swargaavani dhaati; Vennamaarkulu dhaati'?,SSTHAMAN
Aravinda Sametha Veera Raghava,Who penned the lyrics to the song with the lyrics snippet 'Athi sokhamu bothimey; Naraka swargaavani dhaati; Vennamaarkulu dhaati'?,SIRIVENNELASEETHARAMASASTRY
Aravinda Sametha Veera Raghava,Which movie has the song with the following lyrics snippet from: 'Athi sokhamu bothimey; Naraka swargaavani dhaati; Vennamaarkulu dhaati'?,ARAVINDASAMETHAVEERARAGHAVA
Aravinda Sametha Veera Raghava,Complete the lyric: 'Ram rudhiram; Ram maranam gelavam yevaram; Harom hari ___ kumaarulichina',NEE
Aravinda Sametha Veera Raghava,Who is the music director for the song with the lyrics snippet 'Ram rudhiram; Ram maranam gelavam yevaram; Harom hari nee kumaarulichina'?,SSTHAMAN
Aravinda Sametha Veera Raghava,Who penned the lyrics to the song with the lyrics snippet 'Ram rudhiram; Ram maranam gelavam yevaram; Harom hari nee kumaarulichina'?,SIRIVENNELASEETHARAMASASTRY
Aravinda Sametha Veera Raghava,Which movie has the song with the following lyrics snippet from: 'Ram rudhiram; Ram maranam gelavam yevaram; Harom hari nee kumaarulichina'?,ARAVINDASAMETHAVEERARAGHAVA
Aravinda Sametha Veera Raghava,Complete the lyric: 'Paitaaku paccha jenda choosi; ___ gandi; Yepuga oopuga yegabadathaandhe neekidi',AANAKATTU
Aravinda Sametha Veera Raghava,Who is the music director for the song with the lyrics snippet 'Paitaaku paccha jenda choosi; Aanakattu gandi; Yepuga oopuga yegabadathaandhe neekidi'?,SSTHAMAN
Aravinda Sametha Veera Raghava,Who penned the lyrics to the song with the lyrics snippet 'Paitaaku paccha jenda choosi; Aanakattu gandi; Yepuga oopuga yegabadathaandhe neekidi'?,RAMAJOGAYYASASTRY
Aravinda Sametha Veera Raghava,Which movie has the song with the following lyrics snippet from: 'Paitaaku paccha jenda choosi; Aanakattu gandi; Yepuga oopuga yegabadathaandhe neekidi'?,ARAVINDASAMETHAVEERARAGHAVA
Aravinda Sametha Veera Raghava,Complete the lyric: 'Seema ke sega pudathaadi; ___ nen ready; Antaane naa thaakidi',ALREADY
Aravinda Sametha Veera Raghava,Who is the music director for the song with the lyrics snippet 'Seema ke sega pudathaadi; Already nen ready; Antaane naa thaakidi'?,SSTHAMAN
Aravinda Sametha Veera Raghava,Who penned the lyrics to the song with the lyrics snippet 'Seema ke sega pudathaadi; Already nen ready; Antaane naa thaakidi'?,RAMAJOGAYYASASTRY
Aravinda Sametha Veera Raghava,Which movie has the song with the following lyrics snippet from: 'Seema ke sega pudathaadi; Already nen ready; Antaane naa thaakidi'?,ARAVINDASAMETHAVEERARAGHAVA
Aravinda Sametha Veera Raghava,Complete the lyric: 'Muttistha vedi; ___ bondu malle poola; Rayalori bandi',SISALAINA
Aravinda Sametha Veera Raghava,Who is the music director for the song with the lyrics snippet 'Muttistha vedi; Sisalaina bondu malle poola; Rayalori bandi'?,SSTHAMAN
Aravinda Sametha Veera Raghava,Who penned the lyrics to the song with the lyrics snippet 'Muttistha vedi; Sisalaina bondu malle poola; Rayalori bandi'?,RAMAJOGAYYASASTRY
Aravinda Sametha Veera Raghava,Which movie has the song with the following lyrics snippet from: 'Muttistha vedi; Sisalaina bondu malle poola; Rayalori bandi'?,ARAVINDASAMETHAVEERARAGHAVA
Aravinda Sametha Veera Raghava,Complete the lyric: 'Bangaru thalli; Sathyamaina peddha reddemma..; ___ peddha reddemma..',SATHYAMAINA
Aravinda Sametha Veera Raghava,Who is the music director for the song with the lyrics snippet 'Bangaru thalli; Sathyamaina peddha reddemma..; Sathyamaina peddha reddemma..'?,SSTHAMAN
Aravinda Sametha Veera Raghava,Who penned the lyrics to the song with the lyrics snippet 'Bangaru thalli; Sathyamaina peddha reddemma..; Sathyamaina peddha reddemma..'?,PENCHALDAS
Aravinda Sametha Veera Raghava,Which movie has the song with the following lyrics snippet from: 'Bangaru thalli; Sathyamaina peddha reddemma..; Sathyamaina peddha reddemma..'?,ARAVINDASAMETHAVEERARAGHAVA
Aravinda Sametha Veera Raghava,Who sang the song with the lyrics snippet 'Bangaru thalli; Sathyamaina peddha reddemma..; Sathyamaina peddha reddemma..'?,MOHANABHOGARAJU
Aravinda Sametha Veera Raghava,Complete the lyric: 'Sathyamaina peddha reddemma..; ___ peddha reddemma..; Sathyamaina peddha reddemma..',SATHYAMAINA
Aravinda Sametha Veera Raghava,Who is the music director for the song with the lyrics snippet 'Sathyamaina peddha reddemma..; Sathyamaina peddha reddemma..; Sathyamaina peddha reddemma..'?,SSTHAMAN
Aravinda Sametha Veera Raghava,Who penned the lyrics to the song with the lyrics snippet 'Sathyamaina peddha reddemma..; Sathyamaina peddha reddemma..; Sathyamaina peddha reddemma..'?,PENCHALDAS
Aravinda Sametha Veera Raghava,Which movie has the song with the following lyrics snippet from: 'Sathyamaina peddha reddemma..; Sathyamaina peddha reddemma..; Sathyamaina peddha reddemma..'?,ARAVINDASAMETHAVEERARAGHAVA
Aravinda Sametha Veera Raghava,Who sang the song with the lyrics snippet 'Sathyamaina peddha reddemma..; Sathyamaina peddha reddemma..; Sathyamaina peddha reddemma..'?,MOHANABHOGARAJU
Aravinda Sametha Veera Raghava,Complete the lyric: 'Palavareni duvvenamma; Sikku deesi ___ pettamma; Reddemma thalli',KOPPE
Aravinda Sametha Veera Raghava,Who is the music director for the song with the lyrics snippet 'Palavareni duvvenamma; Sikku deesi koppe pettamma; Reddemma thalli'?,SSTHAMAN
Aravinda Sametha Veera Raghava,Who penned the lyrics to the song with the lyrics snippet 'Palavareni duvvenamma; Sikku deesi koppe pettamma; Reddemma thalli'?,PENCHALDAS
Aravinda Sametha Veera Raghava,Which movie has the song with the following lyrics snippet from: 'Palavareni duvvenamma; Sikku deesi koppe pettamma; Reddemma thalli'?,ARAVINDASAMETHAVEERARAGHAVA
Aravinda Sametha Veera Raghava,Who sang the song with the lyrics snippet 'Palavareni duvvenamma; Sikku deesi koppe pettamma; Reddemma thalli'?,MOHANABHOGARAJU
Bhaagamathie,Who sang the song with the lyrics snippet 'Mandaara mandaara; Karige thellaarela; Kiranaale nanne cherelaa'?,SHREYAGHOSHAL
Bharat Ane Nenu,Complete the lyric: 'O vasumathi; oh oh vasumathi; Aa sooreedu thoti ___ cheyyana',MANTHANAALU
Bharat Ane Nenu,Who is the music director for the song with the lyrics snippet 'O vasumathi; oh oh vasumathi; Aa sooreedu thoti manthanaalu cheyyana'?,DEVISRIPRASAD
Bharat Ane Nenu,Who penned the lyrics to the song with the lyrics snippet 'O vasumathi; oh oh vasumathi; Aa sooreedu thoti manthanaalu cheyyana'?,RAMAJOGAYYASASTRY
Bharat Ane Nenu,Which movie has the song with the following lyrics snippet from: 'O vasumathi; oh oh vasumathi; Aa sooreedu thoti manthanaalu cheyyana'?,BHARATANENENU
Bharat Ane Nenu,Complete the lyric: '___ know know know know know; I don’t know know know know know; Know know know know know know yenno (x2)',KNOW
Bharat Ane Nenu,Who is the music director for the song with the lyrics snippet 'Know know know know know know; I don’t know know know know know; Know know know know know know yenno (x2)'?,DEVISRIPRASAD
Bharat Ane Nenu,Who penned the lyrics to the song with the lyrics snippet 'Know know know know know know; I don’t know know know know know; Know know know know know know yenno (x2)'?,RAMAJOGAYYASASTRY
Bharat Ane Nenu,Which movie has the song with the following lyrics snippet from: 'Know know know know know know; I don’t know know know know know; Know know know know know know yenno (x2)'?,BHARATANENENU
Bharat Ane Nenu,Who sang the song with the lyrics snippet 'Know know know know know know; I don’t know know know know know; Know know know know know know yenno (x2)'?,DEVISRIPRASADDSP
Bharat Ane Nenu,Complete the lyric: 'This is me; this is me ___ Paalinche prabhuvunu kaanani',X2
Bharat Ane Nenu,Who is the music director for the song with the lyrics snippet 'This is me; this is me (x2); Paalinche prabhuvunu kaanani'?,DEVISRIPRASAD
Bharat Ane Nenu,Who penned the lyrics to the song with the lyrics snippet 'This is me; this is me (x2); Paalinche prabhuvunu kaanani'?,RAMAJOGAYYASASTRY
Bharat Ane Nenu,Which movie has the song with the following lyrics snippet from: 'This is me; this is me (x2); Paalinche prabhuvunu kaanani'?,BHARATANENENU
Bharat Ane Nenu,Who sang the song with the lyrics snippet 'This is me; this is me (x2); Paalinche prabhuvunu kaanani'?,DAVIDSIMON
Bharat Ane Nenu,Complete the lyric: 'Kashtam edaina samatham; Bharat ane ___ haami isthunannu; Baadhyunnai untanu',NENU
Bharat Ane Nenu,Who is the music director for the song with the lyrics snippet 'Kashtam edaina samatham; Bharat ane nenu haami isthunannu; Baadhyunnai untanu'?,DEVISRIPRASAD
Bharat Ane Nenu,Who penned the lyrics to the song with the lyrics snippet 'Kashtam edaina samatham; Bharat ane nenu haami isthunannu; Baadhyunnai untanu'?,RAMAJOGAYYASASTRY
Bharat Ane Nenu,Which movie has the song with the following lyrics snippet from: 'Kashtam edaina samatham; Bharat ane nenu haami isthunannu; Baadhyunnai untanu'?,BHARATANENENU
Bharat Ane Nenu,Who sang the song with the lyrics snippet 'Kashtam edaina samatham; Bharat ane nenu haami isthunannu; Baadhyunnai untanu'?,DAVIDSIMON
Bharat Ane Nenu,Complete the lyric: 'By the ___ prathinidhiga; This is me; this is me (x2)',PEOPLE
Bharat Ane Nenu,Who is the music director for the song with the lyrics snippet 'By the people prathinidhiga; This is me; this is me (x2)'?,DEVISRIPRASAD
Bharat Ane Nenu,Who penned the lyrics to the song with the lyrics snippet 'By the people prathinidhiga; This is me; this is me (x2)'?,RAMAJOGAYYASASTRY
Bharat Ane Nenu,Which movie has the song with the following lyrics snippet from: 'By the people prathinidhiga; This is me; this is me (x2)'?,BHARATANENENU
Bharat Ane Nenu,Who sang the song with the lyrics snippet 'By the people prathinidhiga; This is me; this is me (x2)'?,DAVIDSIMON
Kgf,Complete the lyric: 'Nirjimcharaa; Dourjanyani Velaa; Aaryuda ___',SURYUDA
Kgf,Complete the lyric: 'Charbi Zyada Hai; ___ Loha Hai; Dar Ko Bechega',HAATH
Kgf,Who is the music director for the song with the lyrics snippet 'Charbi Zyada Hai; Haath Loha Hai; Dar Ko Bechega'?,RAVIBASRUR
Kgf,Who penned the lyrics to the song with the lyrics snippet 'Charbi Zyada Hai; Haath Loha Hai; Dar Ko Bechega'?,RAMAJOGAYYASASTRY
Kgf,Which movie has the song with the following lyrics snippet from: 'Charbi Zyada Hai; Haath Loha Hai; Dar Ko Bechega'?,KGF
Krishnarjuna Yuddham,Complete the lyric: 'Are palle galli ee pillai mari; Nanu oopiralle allena; Vidi gunde jalle ___ valle kadhe',NA
Krishnarjuna Yuddham,Who is the music director for the song with the lyrics snippet 'Are palle galli ee pillai mari; Nanu oopiralle allena; Vidi gunde jalle na valle kadhe'?,HIPHOPTAMIZHA
Krishnarjuna Yuddham,Who penned the lyrics to the song with the lyrics snippet 'Are palle galli ee pillai mari; Nanu oopiralle allena; Vidi gunde jalle na valle kadhe'?,KRISHNAKANTH
Krishnarjuna Yuddham,Which movie has the song with the following lyrics snippet from: 'Are palle galli ee pillai mari; Nanu oopiralle allena; Vidi gunde jalle na valle kadhe'?,KRISHNARJUNAYUDDHAM
Krishnarjuna Yuddham,Complete the lyric: 'Kalisi kshnam aavadaa; Vidiga nennunnaaa; ___ odigunnaaa',EDALO
Krishnarjuna Yuddham,Which movie has the song with the following lyrics snippet from: 'Kurasa kurasa adivilonaa pilaga; Kuriseney gaandhari vaana (x2); Ekkarani ekkarani kondalekki maama'?,KRISHNARJUNAYUDDHAM
Krishnarjuna Yuddham,Who sang the song with the lyrics snippet 'Kurasa kurasa adivilonaa pilaga; Kuriseney gaandhari vaana (x2); Ekkarani ekkarani kondalekki maama'?,PENCHALDAS
Padi Padi Leche Manasu,Complete the lyric: 'Ela dhaanivunte; O my lovely lalana; Konte ___ ninnante',GAA
Padi Padi Leche Manasu,Who is the music director for the song with the lyrics snippet 'Ela dhaanivunte; O my lovely lalana; Konte gaa ninnante'?,VISHALCHANDRASEKHAR
Padi Padi Leche Manasu,Who penned the lyrics to the song with the lyrics snippet 'Ela dhaanivunte; O my lovely lalana; Konte gaa ninnante'?,KRISHNAKANTH
Padi Padi Leche Manasu,Complete the lyric: 'Emai Pothaane; Nuvvantoo Lekunte; Neetho Prathi ___ Nimpesaane',PAGE
Padi Padi Leche Manasu,Who is the music director for the song with the lyrics snippet 'Emai Pothaane; Nuvvantoo Lekunte; Neetho Prathi Page Nimpesaane'?,VISHALCHANDRASEKHAR
Padi Padi Leche Manasu,Who penned the lyrics to the song with the lyrics snippet 'Emai Pothaane; Nuvvantoo Lekunte; Neetho Prathi Page Nimpesaane'?,KRISHNAKANTH
Padi Padi Leche Manasu,Which movie has the song with the following lyrics snippet from: 'Emai Pothaane; Nuvvantoo Lekunte; Neetho Prathi Page Nimpesaane'?,PADIPADILECHEMANASU
Padi Padi Leche Manasu,Who sang the song with the lyrics snippet 'Emai Pothaane; Nuvvantoo Lekunte; Neetho Prathi Page Nimpesaane'?,SIDSRIRAM
Rangasthalam,Complete the lyric: 'Nee kalladdalu neekai kaliya soosindayya; Neevu thodigina sokka neekai dhigulupadi; Silaka ___ gudi bettukundi rayya',KOYYA
Rangasthalam,Who is the music director for the song with the lyrics snippet 'Nee kalladdalu neekai kaliya soosindayya; Neevu thodigina sokka neekai dhigulupadi; Silaka koyya gudi bettukundi rayya'?,DEVISRIPRASAD
Rangasthalam,Who penned the lyrics to the song with the lyrics snippet 'Nee kalladdalu neekai kaliya soosindayya; Neevu thodigina sokka neekai dhigulupadi; Silaka koyya gudi bettukundi rayya'?,CHANDRABOSE
Rangasthalam,Which movie has the song with the following lyrics snippet from: 'Nee kalladdalu neekai kaliya soosindayya; Neevu thodigina sokka neekai dhigulupadi; Silaka koyya gudi bettukundi rayya'?,RANGASTHALAM
Rangasthalam,Who sang the song with the lyrics snippet 'Nee kalladdalu neekai kaliya soosindayya; Neevu thodigina sokka neekai dhigulupadi; Silaka koyya gudi bettukundi rayya'?,CHANDRABOSE
Rangasthalam,Complete the lyric: 'Nee kalladdalu ___ kaliya soosindayya; Neevu thodigina sokka neekai dhigulupadi; Silaka koyya gudi bettukundi rayya',NEEKAI
Rangasthalam,Who is the music director for the song with the lyrics snippet 'Nee kalladdalu neekai kaliya soosindayya; Neevu thodigina sokka neekai dhigulupadi; Silaka koyya gudi bettukundi rayya'?,DEVISRIPRASAD
Rangasthalam,Who penned the lyrics to the song with the lyrics snippet 'Nee kalladdalu neekai kaliya soosindayya; Neevu thodigina sokka neekai dhigulupadi; Silaka koyya gudi bettukundi rayya'?,CHANDRABOSE
Rangasthalam,Which movie has the song with the following lyrics snippet from: 'Nee kalladdalu neekai kaliya soosindayya; Neevu thodigina sokka neekai dhigulupadi; Silaka koyya gudi bettukundi rayya'?,RANGASTHALAM
Rangasthalam,Who sang the song with the lyrics snippet 'Nee kalladdalu neekai kaliya soosindayya; Neevu thodigina sokka neekai dhigulupadi; Silaka koyya gudi bettukundi rayya'?,CHANDRABOSE
Rangasthalam,Complete the lyric: 'Rangasthalana Rangasthalana; Nee paathra mugusindira; ___ kaatlo soonya pathra modalayyena',VALLA
Rangasthalam,Who is the music director for the song with the lyrics snippet 'Rangasthalana Rangasthalana; Nee paathra mugusindira; Valla kaatlo soonya pathra modalayyena'?,DEVISRIPRASAD
Rangasthalam,Who penned the lyrics to the song with the lyrics snippet 'Rangasthalana Rangasthalana; Nee paathra mugusindira; Valla kaatlo soonya pathra modalayyena'?,CHANDRABOSE
Rangasthalam,Which movie has the song with the following lyrics snippet from: 'Rangasthalana Rangasthalana; Nee paathra mugusindira; Valla kaatlo soonya pathra modalayyena'?,RANGASTHALAM
Rangasthalam,Who sang the song with the lyrics snippet 'Rangasthalana Rangasthalana; Nee paathra mugusindira; Valla kaatlo soonya pathra modalayyena'?,CHANDRABOSE
Rangasthalam,Complete the lyric: 'Aa dibbanuntava naganna; Ee ___ hey; Aa dibbanuntava naganna',DIBBAKOSTHAVA
Rangasthalam,Who is the music director for the song with the lyrics snippet 'Aa dibbanuntava naganna; Ee dibbakosthava hey; Aa dibbanuntava naganna'?,DEVISRIPRASAD
Rangasthalam,Who penned the lyrics to the song with the lyrics snippet 'Aa dibbanuntava naganna; Ee dibbakosthava hey; Aa dibbanuntava naganna'?,CHANDRABOSE
Rangasthalam,Which movie has the song with the following lyrics snippet from: 'Aa dibbanuntava naganna; Ee dibbakosthava hey; Aa dibbanuntava naganna'?,RANGASTHALAM
Rangasthalam,Who sang the song with the lyrics snippet 'Aa dibbanuntava naganna; Ee dibbakosthava hey; Aa dibbanuntava naganna'?,SHIVANAAGULU
Rangasthalam,Complete the lyric: 'Aa gattuntava naaganna ee ___ Naaganna; Ye',GATTUKOSTHAAVA
Rangasthalam,Who is the music director for the song with the lyrics snippet 'Aa gattuntava naaganna ee gattukosthaava; Naaganna; Ye'?,DEVISRIPRASAD
Rangasthalam,Who penned the lyrics to the song with the lyrics snippet 'Aa gattuntava naaganna ee gattukosthaava; Naaganna; Ye'?,CHANDRABOSE
Rangasthalam,Which movie has the song with the following lyrics snippet from: 'Aa gattuntava naaganna ee gattukosthaava; Naaganna; Ye'?,RANGASTHALAM
Rangasthalam,Who sang the song with the lyrics snippet 'Aa gattuntava naaganna ee gattukosthaava; Naaganna; Ye'?,SHIVANAAGULU
Rangasthalam,Complete the lyric: 'Aa gadapanuntava naaganna; Ee gadapakosthava naaganna hey (x2); Ee ___ kosthava naaganna',YEPU
Rangasthalam,Who is the music director for the song with the lyrics snippet 'Aa gadapanuntava naaganna; Ee gadapakosthava naaganna hey (x2); Ee yepu kosthava naaganna'?,DEVISRIPRASAD
Rangasthalam,Who penned the lyrics to the song with the lyrics snippet 'Aa gadapanuntava naaganna; Ee gadapakosthava naaganna hey (x2); Ee yepu kosthava naaganna'?,CHANDRABOSE
Rangasthalam,Which movie has the song with the following lyrics snippet from: 'Aa gadapanuntava naaganna; Ee gadapakosthava naaganna hey (x2); Ee yepu kosthava naaganna'?,RANGASTHALAM
Rangasthalam,Who sang the song with the lyrics snippet 'Aa gadapanuntava naaganna; Ee gadapakosthava naaganna hey (x2); Ee yepu kosthava naaganna'?,SHIVANAAGULU
Rangasthalam,Complete the lyric: 'Kannemo karananiki kottesaane (x2); Okkasaari vaatethava jigelu raani; Kotha ___ adhi dachiunchaane',PESIDENTIKI
Rangasthalam,Who is the music director for the song with the lyrics snippet 'Kannemo karananiki kottesaane (x2); Okkasaari vaatethava jigelu raani; Kotha pesidentiki adhi dachiunchaane'?,DEVISRIPRASAD
Rangasthalam,Who penned the lyrics to the song with the lyrics snippet 'Kannemo karananiki kottesaane (x2); Okkasaari vaatethava jigelu raani; Kotha pesidentiki adhi dachiunchaane'?,CHANDRABOSE
Rangasthalam,Which movie has the song with the following lyrics snippet from: 'Kannemo karananiki kottesaane (x2); Okkasaari vaatethava jigelu raani; Kotha pesidentiki adhi dachiunchaane'?,RANGASTHALAM
Rangasthalam,Who sang the song with the lyrics snippet 'Kannemo karananiki kottesaane (x2); Okkasaari vaatethava jigelu raani; Kotha pesidentiki adhi dachiunchaane'?,GANTAVENKATALAKSHMI
Rangasthalam,Complete the lyric: 'Vatini vela khaathalo ___ raaja; Jil jil jil jil jil jigelu raaja; Evadi paata aadu paadandoi raaja',PETTANU
Rangasthalam,Who is the music director for the song with the lyrics snippet 'Vatini vela khaathalo pettanu raaja; Jil jil jil jil jil jigelu raaja; Evadi paata aadu paadandoi raaja'?,DEVISRIPRASAD
Rangasthalam,Who penned the lyrics to the song with the lyrics snippet 'Vatini vela khaathalo pettanu raaja; Jil jil jil jil jil jigelu raaja; Evadi paata aadu paadandoi raaja'?,CHANDRABOSE
Rangasthalam,Which movie has the song with the following lyrics snippet from: 'Vatini vela khaathalo pettanu raaja; Jil jil jil jil jil jigelu raaja; Evadi paata aadu paadandoi raaja'?,RANGASTHALAM
Rangasthalam,Who sang the song with the lyrics snippet 'Vatini vela khaathalo pettanu raaja; Jil jil jil jil jil jigelu raaja; Evadi paata aadu paadandoi raaja'?,GANTAVENKATALAKSHMI
Rangasthalam,Complete the lyric: 'Ekaram mamidi thota; Maa ___ tecchina katnam; Kothaga kattinchukunna illu',AAVIDA
Rangasthalam,Who is the music director for the song with the lyrics snippet 'Ekaram mamidi thota; Maa aavida tecchina katnam; Kothaga kattinchukunna illu'?,DEVISRIPRASAD
Rangasthalam,Who penned the lyrics to the song with the lyrics snippet 'Ekaram mamidi thota; Maa aavida tecchina katnam; Kothaga kattinchukunna illu'?,CHANDRABOSE
Rangasthalam,Which movie has the song with the following lyrics snippet from: 'Ekaram mamidi thota; Maa aavida tecchina katnam; Kothaga kattinchukunna illu'?,RANGASTHALAM
Rangasthalam,Who sang the song with the lyrics snippet 'Ekaram mamidi thota; Maa aavida tecchina katnam; Kothaga kattinchukunna illu'?,GANTAVENKATALAKSHMI
Rangasthalam,Complete the lyric: 'Kanapadani cheyyedo ___ Aata bommalam anta; Inapadani paataki sindaadestunna',AADISTHUNNA
Rangasthalam,Who is the music director for the song with the lyrics snippet 'Kanapadani cheyyedo aadisthunna; Aata bommalam anta; Inapadani paataki sindaadestunna'?,DEVISRIPRASAD
Rangasthalam,Who penned the lyrics to the song with the lyrics snippet 'Kanapadani cheyyedo aadisthunna; Aata bommalam anta; Inapadani paataki sindaadestunna'?,CHANDRABOSE
Rangasthalam,Which movie has the song with the following lyrics snippet from: 'Kanapadani cheyyedo aadisthunna; Aata bommalam anta; Inapadani paataki sindaadestunna'?,RANGASTHALAM
Rangasthalam,Who sang the song with the lyrics snippet 'Kanapadani cheyyedo aadisthunna; Aata bommalam anta; Inapadani paataki sindaadestunna'?,RAHULSIPLIGUNJ
Rangasthalam,Complete the lyric: 'Venuvante kittamurthi vaadhyam anta; Shoolamante kaalikamma ayudhamanta; ___ paadatanikaina potu podavataanikaina',PAATA
Rangasthalam,Who is the music director for the song with the lyrics snippet 'Venuvante kittamurthi vaadhyam anta; Shoolamante kaalikamma ayudhamanta; Paata paadatanikaina potu podavataanikaina'?,DEVISRIPRASAD
Rangasthalam,Who penned the lyrics to the song with the lyrics snippet 'Venuvante kittamurthi vaadhyam anta; Shoolamante kaalikamma ayudhamanta; Paata paadatanikaina potu podavataanikaina'?,CHANDRABOSE
